campus,place_id,name,site,category,borough,street,city,postal_code,state,latitude,longitude,verified
Penn State University Park,ChIJSz_DX0ykzokRVhTnU0Cs_eM,The Villas at Happy Valley,https://www.apartmentstore.com/building/state-college/the-villas-at-happy-valley/,Apartment complex,,1335 Dreibelbis St,State College,16801,Pennsylvania,40.8345353,-77.81127149999999,True
Penn State University Park,ChIJzZZ2J46ozokRTALobuh-_JA,Nittany Property Management,http://www.nittanypm.com/,Property management company,,938 W College Ave,State College,16801,Pennsylvania,40.7863449,-77.8718708,False
Penn State University Park,ChIJV4Kba8ynzokRQ_J2ZpHbtAY,Vairo Village,https://vairovillage.com/,Apartment complex,,10 Vairo Blvd,State College,16803,Pennsylvania,40.8175363,-77.8886138,True
Penn State University Park,ChIJH6dsFH-ozokROfynA8K0pE8,Alight State College,https://alight-statecollege.com/,Apartment complex,,348 Blue Course Dr,State College,16803,Pennsylvania,40.8002495,-77.8865227,True
University of Illinois Urbana-Champaign,ChIJMStDGsrXDIgRyPNO_VtZBPk,Stone Ridge Square Apartments,https://www.m2regroup.com/properties/stone-ridge-square?utm_source=gbp,Apartment rental agency,,1714 E Colorado Ave,Urbana,61802,Illinois,40.0949085,-88.1871458,True
University of Illinois Urbana-Champaign,ChIJ0yehl6XXDIgRtqPdtmcuKeU,ICON Apartment,https://www.iconchampaign.com/,Apartment building,Midtown,309 E Springfield Ave,Champaign,61820,Illinois,40.112279,-88.2344933,True
University of Illinois Urbana-Champaign,ChIJOclHQ0fXDIgRQ9hSGct0NsE,JSM Living,http://www.jsmliving.com/,Property management company,Campustown,616 E Green St Suite D,Champaign,61820,Illinois,40.1105931,-88.2296109,True
University of Illinois Urbana-Champaign,ChIJ7UGa5WTXDIgRA68v32Fz4_c,The Atrium,http://www.atriumurbana.com/,Student housing center,,1306 N Lincoln Ave,Urbana,61801,Illinois,40.1245895,-88.2191991,True
University of Illinois Urbana-Champaign,ChIJZ1Wg5rDXDIgRwsRBDwZ_PUw,Parkside Apartments,https://www.m2regroup.com/properties/parkside?utm_source=gbp,Apartment building,,1205 E Florida Ave,Urbana,61801,Illinois,40.0978454,-88.1941786,True
University of Illinois Urbana-Champaign,ChIJEVA-T7XQDIgRWVzI8SDxx2I,Royse + Brinkmeyer Apartments,http://www.roysebrinkmeyer.com/,Apartment rental agency,,211 W Springfield Ave,Champaign,61820,Illinois,40.112348,-88.246555,True
University of Illinois Urbana-Champaign,ChIJvVMTrrfXDIgRdBQruMcBD3c,The Pointe At U of I,https://www.pointe-ui.com/,Apartment complex,,1601 E Florida Ave,Urbana,61802,Illinois,40.0978603,-88.1891294,True
